D2;D3;1;28
D2;S3;1;101
D2;S2;0;63
D2;S4;0;103
D2;D13;0;112
D2;T1;0;25
D2;S7;0;45
D2;D11;0;37
D2;D6;0;97
D2;S1;0;67
D2;D8;0;196
D2;D5;0;120
D2;D4;0;199
D2;D15;0;67
D3;D14;1;184
D3;D17;0;35
D3;S5;0;144
D3;D6;0;104
D3;D16;0;193
D3;D9;0;111
D3;S2;0;106
D3;S9;0;199
D3;D4;0;130
D3;S7;0;149
D14;S6;1;150
D14;D11;0;178
D14;S7;0;190
D14;S2;0;141
D14;D4;0;36
D14;D8;0;49
D14;S3;0;27
S6;S9;1;156
S6;T1;0;144
S6;D10;0;191
S6;S8;0;141
S6;S2;0;51
S6;S5;0;42
S6;S1;0;200
S6;D8;0;51
S9;D10;1;156
S9;D6;0;124
S9;D11;0;132
S9;D13;0;87
S9;S5;0;174
S9;D12;0;42
S9;S4;0;67
S9;D15;0;67
D10;D1;1;57
D10;S5;0;141
D10;D4;0;23
D10;S7;0;160
D10;D12;0;103
D10;D11;0;79
D1;D17;1;63
D1;D6;0;125
D1;D4;0;130
D17;D9;1;169
D17;S1;0;52
D17;S5;0;47
D17;D5;0;51
D17;S2;0;135
D17;S3;0;182
D17;T3;0;57
D9;T1;1;96
D9;T3;0;67
D9;D4;0;85
D9;S1;0;186
D9;D13;0;195
D9;D6;0;71
D9;S4;0;155
D9;S5;0;96
D9;T2;0;107
T1;S7;1;139
T1;D7;0;119
T1;D4;0;99
S7;D5;1;58
S7;D15;0;74
S7;S5;0;71
S7;D11;0;75
S7;T3;0;141
D5;S1;1;169
D5;D6;0;21
S1;D16;1;56
S1;S5;0;36
S1;D18;0;161
D16;S3;1;30
D16;D18;0;58
S3;D18;0;57
S3;D8;0;194
S3;D12;0;134
D13;D11;0;114
D13;S4;0;26
D13;D7;0;122
S8;S5;0;76
S2;S4;0;119
S2;D7;0;171
S2;D4;0;40
S2;D12;0;42
S2;D8;0;37
D15;D4;0;133
D15;D18;0;46
D15;T2;0;26
D7;S5;0;143
D7;D8;0;71
D11;S4;0;188
D8;D12;0;89
D8;T3;0;54
D8;D6;0;130
D4;D18;0;150
D4;S5;0;164
D6;T3;0;112
S5;D12;0;105
S5;S4;0;91
S4;D12;0;118
